State,PCT_LACCESS_POP15,PCT_LACCESS_HHNV15,PCT_LACCESS_SNAP15,LACCESS_CHILD15,PCT_NHWHITE10,PCT_NHBLACK10,PCT_HISP10,PCT_NHASIAN10,PCT_NHNA10,PCT_NHPI10,GROCPTH16,SUPERCPTH16,SNAPSPTH17,WICSPTH16,FFRPTH16,FSRPTH16,PCT_SNAP17,PCT_REDUCED_LUNCH15,PCT_OBESE_ADULTS17,RECFACPTH16,FOODINSEC_12_14,FOODINSEC_15_17,CH_FOODINSEC_14_17,VLFOODSEC_12_14,VLFOODSEC_15_17,CH_VLFOODSEC_14_17
Alabama,14636.914844778965,2205.1008788682825,2272.3680528354043,3453.5194414273133,48869.188509599015,18676.277075589504,2840.4283660409315,816.736538882582,391.1622965895388,30.40533076806194,0.18286068265671643,0.021936116059701492,1.0456817954029851,0.187503065,0.6288424885223881,0.49029387585074624,16.50005631,0,26356.752761194028,0.04953247320895522,16.8,16.3,-0.5,7.2,7.1,-0.1
Alaska,9035.992660936594,3130.8771995742736,1746.2347592895435,2081.765850127931,14135.329628595275,753.8368031771411,1310.6637445708998,1309.3009790715864,6135.539726097171,249.6017059861676,0.7268054810689655,0.008242400206896552,0,0,0.32697269106896554,0.6851583464137931,12.04557794,0,8744.633379310346,0.053022424206896554,12,11.6,-0.4,4.3,3.7,-0.6
Arizona,89373.89020852763,7303.292742899482,11959.26812587653,19440.03902706667,268038.6128258223,17518.643798210902,137281.84778407568,12482.44815322819,17969.277028544155,798.4550506503673,0.1455212042,0.02263086,0.7407655863333333,0.14941182786666668,0.5484425522666667,0.7118383809333333,13.09424618,0,136593.88933333333,0.051039370933333335,19.9,17.4,-2.5,8.1,6.5,-1.6
Arkansas,7971.085690778094,1141.8365472858925,1184.2091023030691,1907.597929614,29837.96525623331,5876.585350231292,2628.4502654922685,502.84990248759226,281.8156679265936,81.86329633691854,0.1853963908,0.026203964786666666,0.95161447744,0,0.5531592157866667,0.57479670132,12.92696462,3075.365354409167,13955.246666666666,0.04827042002666667,15.4,13.1,-2.3,6.2,5.7,-0.5
California,78462.04115932643,4447.553657275096,5549.459155247172,18446.601953598274,271439.559997095,39306.00880137575,253628.2054181952,87185.291923808,2916.9200037731316,2351.2366331318667,0.26006020463793106,0.0073657272413793105,0,0,0.6345261116551724,0.8610203284655172,10.40064266,0,169680.87718965518,0.09366938055172414,13.5,11.2,-2.3,5.1,4.1,-1
Colorado,16119.54590467969,890.7375821299178,1290.654351755107,3758.02847738125,60467.04061878762,3310.347764167141,17923.272361400504,2368.1790491229312,531.1059840203565,97.9777885511111,0.3942081135625,0.017062606015625,0.76466912296875,0,0.681228175984375,1.644690825515625,8.190382024,6425.424492332893,19566.37728125,0.07602624321875,13.6,9.2,-4.4,5.2,3.8,-1.4
Connecticut,129478.21245470396,7028.200274814278,7739.3889892805055,29632.481299875,318183.99243659544,42108.391369064215,60246.06584436822,16842.66866974103,855.1501382964487,119.78179741918375,0.204429219125,0.00839585375,0.615223066125,0.164453526125,0.6431861828750001,0.9234105315,11.43599148,21773.330019152883,120332.91324999998,0.138243576625,13.9,12.2,-1.7,6,4.7,-1.3
Delaware,61418.63617154911,5132.36634692171,6583.992003222824,13310.850183,207296.11849158318,65431.770303785604,25767.735529956863,9831.790407765757,1009.2156784229034,84.57966113716999,0.18255095966666665,0.014768033333333333,0.7678366823333334,0.095428037,0.6664208963333333,0.8577068993333333,15.26140605,0,100616.89600000001,0.13113189266666667,13.2,11.2,-2,4.9,4.5,-0.4
District of Columbia,14477.518581111,3159.05298205725,2749.7479384555,3454.452976,239001.5767758975,343506.00441616,62469.433071054504,23753.65134701825,1508.42189698075,246.459251027,0.271796311,0.00730635,0.527278718,0.049521174,1.281534217,1.287379299,17.40567343,76295.34862682,157225.675,0.14904959,12.1,11.1,-1,4.6,3.5,-1.1
Florida,65256.01453334586,4732.467921439173,7650.01538602307,12801.476386247015,177999.36369734685,46497.59019508841,69600.47969324958,7319.134055049404,769.1120300855205,159.7305200827458,0.16533431607462687,0.017848259253731343,0.864575270880597,0,0.5198153475671642,0.6851387355671642,15.1852654,0,87446.49086567163,0.07493212774626866,13.8,11.9,-1.9,5.5,4.2,-1.3
